CommentID,CreateTime,Content,UserName,EventID
21,2018-05-14 08:21:08,"Friendly staff. Small atmosphere. Nothing to write home about :) They brew their own \house\"" iced tea. I got the Black. It was very good!\nOrdered the Grilled Cheese w/tomato, mozzarella (pasturized), and basil. It comes with homemade potato salad or a green salad with vinegarette.. I got the green salad.\nThe sandwich was filling, warm, and \""comforting\""..but bland. No real zing to any of the ingredients. The salad was very tasty with a potent, tart vinegarette. \nSat on the patio next to two very loud, crude, ASU sorority girls, which isn't the bakery's fault ;) \nAll in all a nice lunch.""",1SRdCn6E,3672
22,2018-05-22 19:39:08,I've been to Oink a couple of times .... and I really hope it pulls through and makes it.  \n\nIt's in a location where 'The Eggery' was in Paradise Valley for a long,VC00Q8wu,4542
23,2018-02-15 00:46:38,"Arrogant, impersonal, administration......They are sure, not what they claim to be : A \caring\""  school that believes in individuality... All they care about is to raise money and shine in public through their great students that are handpicked, and come together in that school for the Arts..  If your student is loud and had a sharp elbow and can push herself to the front rows,  or you can afford to go to all their fund raising events and be heavily involved, you sure will get the benefits  and all the attention...,.. The only good thing I can say about that school is the great liberal, open minded hand selected students that find their way to that school, .. because of the name of the school....and a few great teachers that have  already left.. There are still a few good ones left, like every other school....But the head of school & principal & vice principal are so busy with raising money and advertise for themselves that don't care about individual students....""",82Xz3C7I,34
24,2018-04-21 05:48:43,"The moment I walked in, I saw one table seated and not a soul at the hostess desk. I waited about 3 minutes and got seated to my tacky red picnic tablecloth covered booth. Then the waitress came out of her hiding shell and decided to take my order. I ordered the individual pepperoni pizza. Me, being the asshole that I am, took my phone out and counted how long my order would take to get to me. It took twelve minutes on the dot. Could've been faster, I thought to my self. Then I looked at it...I mean, you see it don't you? A beautiful burnt on one side and slightly under cooked on the other...now that's amore. Oh and don't forget the garnish of a wilted and sad basil leaf. Then I took a bite. It tasted kind of familiar...hmm...what flavors went on in my mouth that my memory had been triggered...I got it, DOMINO's. I could clearly see the bumps on the bottom of the pizza which only mean one thing. This was cooked on a conveyor belt. In New York City, the best pizzas that I've had there came out of a hot stone/brick oven. If they have all those pictures up of New York City wouldn't it make sense to cook it the way New Yorkers have been doing it for decades? The soggy and flappy dough was spongy and I didn't enjoy it. So the waitress asks me \How was your pizza sir?\"" I responded \""slightly burnt, thank you for asking.\"" Then she brings up the fact that she knew that it was burnt and still served it to me. Wow. As disappointing as that experience was, it wasn't all awful. There was dessert. I ordered cheesecake. Why? Because I fucking love cheesecakeIt came out and it was actually pretty good. The Graham cracker crust was pretty tasty and it was slightly dense but very creamy. The strawberry sauce, kind of tasted like melted high fructose smuckers sauce. If you can't tell from reading this, I'm obviously never going back to this place ever again. EVER. Shitty pizzerias like this place need to die.""",EyTwUh8B,4913
25,2018-05-24 16:13:03,"Now that I've done \take-out\"" a few times and eaten-in once, I can officially say that I'm a huge fan of this place.\n\nIn my handful of experiences with Lao Thai, I've had the following dishes:\n-fresh rolls \n-house salad with peanut dressing\n-stir-fry eggplant\n-ultimate asparagus\n-garden delight\n-pad cee-ew\n-drunken noodles\n-pad woon-sen\n\nI've enjoyed them all, but the eggplant may be my favorite.  It's actually better than the eggplant at Tottie's and I'm a huge Tottie's fan!  The portions are really big, and I've found everything to have a ton of flavor.  I especially like that when you get take out, you get side containers of hot sauce to spice everything up as much as your little heart desires.\n\nAnn, the owner, is extremely sweet - I spoke to her for awhile during my last visit when I did take-out.  She told me they've got a website coming soon, and I noticed that on the menu she gave me, it says \""we deliver\"" on it... I'll have to try that sometime.  Another bonus? They are open on Sundays!\n\nI think I may have been Thai in a past life... I love Thai food and could eat it every day if given the chance.  While the restaurant itself lacks character, it's clean, and I found the service to be attentive.  If you cannot tell from this review, I'm super excited to have another quality Thai restaurant close to home.""",PJge6iCJ,437
26,2018-06-06 22:30:32,Every great airline they've absorbed (America West,3ZlsKpC8,4272
27,2018-03-08 11:22:22,"We ordered a couple pizzas tonight via their on-line system and were given an estimated delivery time of about 25 minutes.  We thought this sounded quite short but were willing to give them a little leeway.  After they missed the estimated delivery time by 45 minutes I called to see what the status of our pizza was.  Alexa or Alexis (not sure which) answered the phone and as soon as she pulled up our order she started apologizing profusely, she put me on hold and after a few minutes another person answered the phone with much more of a gruff voice, didn't say anything except \this is ???? (didn't catch name).  I figured the phone had been picked up by someone else so I told her I was talking to the other person.  She told me she was the manager and that the driver said he tried to deliver the pizza and the woman that answered the door told him they already got their pizza?!?!\n\nSince it's my wife and I that were home, both expecting the pizza and both irritated that it hadn't arrived there is no way that happened at this house.  I couldn't tell if the driver messed up terribly or if this was their cover story for messing up our order and not getting it out.\n\nGranted...they did offer to recook the pizzas and deliver them for free but at this point they are done in my book.  The last thing I want is a pizza cooked and delivered by disgruntled people.  This is the last time we will ever attempt to get a pizza from them and highly recommend you use caution when ordering.""",6jRT0VV9,3536
28,2018-01-07 13:42:24,"Busy Busy Busy.  Definately a place you need to call ahead and get a reservation for.  Was seated right in front of the kitchen and got a birds eye view of the goodies as they were being made.  Had the fried green tomatoes which were delicious.  Chickpeas were not really my thing, fried but a bit dry.  Jidori Chicken with polenta croutons was addictive.  The sauce, the buttery and fried polenta cubes.  I had to remember that I was in public and it was inappropriate to lick the plate clean.  The fingerling potatoes which are called \fat, fat potatoes\"" are delicious but nothing that I couldn't make at home.  The leeks are indeed delicious.  The menu is great for sharing, and in fact I think sharing is the way to go.  The restaurant was kind enough to send out a potato soup that was dressed with truffle oil and shaved black truffles.  That in itself was enough to convince me to come back again.  Truly delicious.""",cnycoW1U,2033
29,2018-05-30 22:06:51,In Minneapolis the Original Pancake House is a high-end establishment.  We were vacationing in Fountain Hills and wanted a treat so we trekked to Scotsdale for bfast.  We were a bit leery when we saw the exterior and the adjoining Motel 6.  The menu was very similar to what we're used to,jvHLUSte,1001
30,2018-02-14 09:29:19,The food at this location used to be some of the best,su0r1tal,1274
31,2018-01-13 07:32:29,The most relaxing bed and breakfast in Southern Arizona.  Linda,bE3uxlo0,2249
32,2018-01-10 10:30:10,Went last night for a girlfriend's birthday.  How CUTE is this place!  They literally served our basket of french fries in a mini shopping cart basket container!  It was adorable!  The menu is pretty simple,unq4IeNJ,3833
33,2018-05-08 02:17:38,Just stayed here for a week for work in the area,sxHEFIIl,1614
34,2018-03-15 10:19:16,Pros:  The food is really delicious.  I had their Ropa Vieja and DH had their Chicken Cubano.  Both dishes were terrific.  The black beans alone are worth the trip.\n\nCons: the ambiance.  The exterior is inviting with the Spanish styled roof,eW1TpLJu,1119
35,2018-01-19 15:27:23,Five star ratings are so obnoxious and hard to trust.\n\nSo you ask yourself,yHGajY64,2288
36,2018-04-01 12:17:56,I really,O2KLyvnW,1201
37,2018-06-08 15:27:51,I like the Good Egg.  Really,lLas0reD,4200
38,2018-05-09 05:53:38,This is a great place to take out-of-town visitors.  Just be prepared to take a nap afterward...all of the fresh air,b4slOvzz,2898
39,2018-01-14 07:27:22,LOVED LOVED LOVED this spot that works great for lunch!\nThe clean fresh decor was very inviting,DBlOq7HK,1367
40,2018-05-13 06:47:42,This is my favorite Fry's around. I love the expanded natural foods section & improved organic produce department. A few weeks ago I purchased some juice boxes that were sticky & asked if they had any others that weren't sticky. The grocery manager took my juice boxes over to the Starbuck's & washed them off before putting them back in my bag. He was super cool about it & let me know it was his pleasure to make sure I was happy.  LOVE him.,sA5SnwoQ,4661
41,2018-01-16 00:54:49,"This review for Dollar is simply based on renting the unit, not returing it. I had to one-way a car to L.A. and my priceline request was accepted by Dollar. Once at the airport, the kind agent told me about fuel, insurance and GPS options, all which I declined and once I asked him about driving to California, he upgraded me from a Chevy Aveo to a \compact\"" for no extra charge. Once he directed me to the lot, there was a shiny white Dodge Caliber waiting for me. The car was clean and had around 3500 miles on it. \n\nThis was one of the easiest rentals I have done in a while.""",raZnwYg5,3463
42,2018-01-18 10:23:56,"Stressed and having a bad day in general this Sonic was like a neon sign flashing.  Comfort food!  Ice Cream!  Drive Through!\n\n15 minutes later I've finished off that heavenly soft and buttery grilled cheese sandwich and I'm taking a sip of their new Banana pudding shake. (The Chocolate Peanut Butter had been planned, but this was even better.)  Yea, yea. It's not healthy.  It's not even close to healthy (unless I was seriously dairy deficient).  But ya know what?  On a day today that stinking Lean Cuisine wasn't going to do it.  \n\nThe dude at the window didn't even make eye contact. He gets 2 stars.  But the girls on skates seemed fairly happy even though it was already getting pretty warm.  \n\nAs a general rule, their burgers are pretty good - but their Coney's are the best.  It's trash food, but it's a level of \comfort\"" trash food that you're just not going to get at Jack in the Box.""",NrYAjgpZ,2282
43,2018-06-10 18:10:28,We are usually good with everything at BJ's,pFPtMZ0h,2429
44,2018-03-29 21:28:03,I miss working in downtown Tempe. My boss and I would go here at LEAST once a week. I won't fail to mention that I now work within walking distance from LGO,5TvrO3L2,4952
45,2018-02-18 01:33:46,My travelling for work of late has landed me in some...well,TCeODxuN,2428
46,2018-05-17 12:47:39,"Does YC's stand for \yucky chinese?\"" \n\nThat's what I'm wondering as I am slowly trying to put down this food. This is such a fun and exciting concept, and the service was beyond amazing, but wow... this \""food!\"" My sauce to meat/noodles/vegetables ratio is about 100:2. Being that you're supposed to choose your own food/sauce, including the amount, it should be my fault; however, the nice young lady who works there made my sauce. There's a menu board of how to make your sauces, but since there are two meal sizes you can choose from, I think they need to re-doctor those recipes to fit each of the sizes. I feel like I'm eating spicy soy and sesame sauce soup.  \n\nI think the price is pretty reasonable for everything you get: meal, drink, soup, great service.YC, re-doctor your sauce recipe and I may consider my return.""",0ZXTCddV,3839
47,2018-01-28 18:31:29,I come here every time I'm in town,4ZZjuF9i,2102
48,2018-05-13 18:51:33,Another cozy breakfast place.\n\nI am a sucker for black coffee and eggs diner type places,0amV1i15,4652
49,2018-04-18 07:40:31,There are only two reasons I usually go to Gourmet House of Hong Kong--I need cheap,IopwscLF,2545
50,2018-06-05 20:29:32,"If only every dairy farm in the world could be as wonderful, clean, and humane as the Super Farm.  As soon as we pulled up, I knew this was a different kind of dairy farm.  The grounds were exceptionally clean for a farm, and it smelled, but not in that \omg this is so offensive I need a gas mask\"" type of way.  We actually came here twice.  The first time was on a Monday because we were under the assumption that they were open, and they weren't.  I tweeted my disappointment and was immediately offered an apology along with a free tour.  I was really impressed with the intense desire to please everyone that they clearly have here.  \n\nWe came back later in the week, but we did pay for our tour.  I don't mind supporting wonderful places like this with my hard earned dollars.  The tour lasted about an hour and consisted of a introduction to the farm along with lots of great information about their animals and the way they are taken care of.  Next we visited the \""petting zoo\"" type animals, goats, donkey, horse, goose, rabbit, lamb.  the good stuff.  The animals were all clean and seemed very happy.  After that we got to go on a hayride around the facilities where we learned what each enclosure was for.\n\nAfter the tour we stopped in their cute little boutique that is filled with all sorts of great things from novelties, to clothing, to yummy sodas and homemade dairy products.  I was also very impressed with how well our tour guide handled the hordes of children and their pushy parents.  I was Super Impressed with Super Farm and hope that everyone gets a chance to tour sometime.""",351iXVeP,3316
51,2018-05-31 08:10:06,We received a flier for this restaurant through the door and decided to give it a chance.  I was extremely disappointed with our food. Our order was missing the starter we ordered but the main problem was that  the food was inedible. It smelled of fish upon opening,FktqketT,3435
52,2018-02-28 09:04:36,I will start off telling you I'm a chef,APW0T6qC,2880
53,2018-01-21 06:46:03,I used to go to Pita Jungle all the time during my college years. It used to be a great cheap option for lunch,swiQSOQX,1567
54,2018-01-07 06:02:13,"Wow yes, quite a difference huh? Went back here with the hubby and sister and brother in law. Discovered that they took my beloved honey mustard chicken salad off the menu. WTF? Why does this always happen to me??? In any event, I ordered the new shrimp and crab Louis salad with a side of sweet pot fries and a raspberry mango swirl smoothie or something to that effect. The salad kinda sucked. Not enough shrimp or crab, plus I hate how everything was \sectioned.\"" Just mix everything in my salad together and then top with huge mounds of shrimp and crab! The sweet pot fries were not very good this time and a waste I felt. The smoothie was ok but not as good as the strawberry banana one. The rest of our party didn't care for their entrees very much either. Oh and their \""home made\"" mac and cheese was terrible. Not creamy, not cheesy, and their \""breadcrumbs\"" were nothing more than croutons! Not the same thing! Anyways, service was still ok but their food has gone downhill I think. It went from being terrific to just ok for me. Don't think i will go back unless someone else suggest it. Major disappointment.   :(""",NqWtd4O9,285
55,2018-05-28 02:51:02,"Whenever I'm about to hop onto an airplane (do you want your last meal to be crap plane food?), going snowboarding or hiking for the day... this is my go to place to grab a sandwich for the pack.  \n\nGrilled pork w/out the \mayo\"" when it's being packed away (is it really mayo??).  Sometimes the fried 5 egg roll deal comes on the trip too.  Hot summer days is nice to sip on an iced chrysanthemum tea with black grass jelly.\n\nBTW I saw a location just a few miles from Disneyland, if you're planning to pack in a little there too.""",t4aVIFYw,1607
56,2018-03-07 03:16:02,"I.Love.This.Place.\n\nAdjacent to Changing Hands Bookstore, this small local change is fantastic, a great accompaniment to CHB and a great location (Guadalupe and McClintock) for a break from errands (or in my case, riding my bike-right around here is usually when I need to take a rest and eat something fast). Really warm and inviting, it reminds me of a classier Au Bon Pain (you Boston-ites will know what I'm spittin' here). A fast food restaurant that is tastier, cheaper, and friendlier than most \sit down restaurants\"". \n\nThe set up (going from the entrance from CHB, not the door) is first off a sampling of their bread of the day with either butter or olive oil to dip in. You have the line with bagels right behind the cashiers, and a small bakery case to look at such good offerings as Chocolate Pumpkin muffins and their scones and cake slices. It can be a mad house here at lunch time, many people opting to take it to go-their sandwiches go on average 6-8 dollars-but they are huge, fresh and top notch-totally worth the price. Unfortunately, there isn't a whole lot of meat free or dairy free options for me for lunch right now (they have seasonal menus) but for all you carnivores-DAMN. Good soups too (I would avoid the weird, mushy tomato bread stuffing on the side and replace with chips-maybe you'll like it but I doubt it). They also have huge salads and pasta entrees for dinner times.\n\nTheir breakfast and coffee is where they shine. The coffee is available at the self serve and they have a huge container of SOY MILK (yes!!!!!!) at your disposal. They can make tons of drinks and have tea as well, so if you're into that, prices seem market. But you have to try b-fest once here. Serve till 10am on weekdays, 2pm on weekends, they have stuffed french toast fruit, frittatas, I mean, it is soooooo delicious. AND FAST. If you can snag a table. Essentially you should try to have someone grab a table and tell you what they want since turnover is fast, but there are a LOT of people waiting to snag your seat (so don't linger either-its just kinda rude). The drill is you order the food, they give you a special flag for the table (if to go, you just wait near the kitchen and coffee kiosk), your coffee cup, you grab the coffee and grab a table and they bring it to you when ready. Pretty nice! Oh, and the staff is relentlessy friendly and efficient-I really don't know how they do it.\n\nThey do have seating outside that is pretty nice and a \""trust\"" option for their baguettes where you drop money off and grab a fresh one near the door so you don't have to deal with the line. So grabbing some bread for the week or dinner that night is a fantastic option as well.""",LbyLRUGS,1594
57,2018-03-28 10:54:38,This is one of my favorite lunch locations,APW0T6qC,1097
58,2018-01-22 02:15:50,This place has some seriously delicious food,s0mGgwJ6,4965
59,2018-05-18 06:39:05,"This place is wretched, and the service always sucks! We were one of only 3 tables in the place at 3:30pm and still had trouble getting served. The manager, or what looked like the manager (a person carrying keys, doing voids, and walking behind the bar) not once made eye contact with us. The server had to ask \just so I get this straight...you ordered the salad with ranch\"" We ordered the Ahi app, chips and guacamole, and the full-rack of ribs. The food was tasty, but once again the service sucks. Our server tried to give our tab to the ladies behind us, then complained out loud that the other server screwed things up, all the while we were waiting for the tab. He then had to explain that I really would not be getting charged twice, it would only be on my credit card for a few days. No one ever said thanks for coming in, and we were left to walk out...never to return.""",E6NEapAi,2640
60,2018-01-25 13:10:28,"Ick.\n\nIt was one of those evenings when you toss dinner options back and forth, but nothing really sticks.  \n\nIn retrospect, we should have stayed home.  Even in the barren, food-less space that is my kitchen, I could have done better.  However, lured by an ad boasting a \World Famous Gyro\"" for the bargain price of $5, off we went.\n\nUpon arrival, we were quickly greeted by a man I assume is the owner, shown to a table, and given menus.  A few minutes later, he came back to tell us he would send someone over to take our order.  Great.  Strangely, the waitress that arrived to ask us what we would like to drink couldn't/wouldn't take our food order, as someone else was actually our waiter.  Huh?  Well, we finally were able to order from our real waiter (who was very nice, by the way and the ONLY reason for 2 stars vs 1) and our World Famous Gyros arrived shortly.  \n\nUh, no.  What I found on my plate was a pile of sauce wrapped in paper.  The entire gyro was drowning in tzatziki.  Now I happen to really like tzatziki, but but not to the point that I cannot even identify what I am supposed to be eating.  I scraped off as much as I could, but then only tasted overly salty meat, soggy lettuce and yes, sauce.  After a few bites, I waved the white flag of surrender - I just couldn't do it.\n\nGuess you get what you pay for....""",7JV0LrKm,674
61,2018-03-14 03:51:48,I finally made it back to Banderas to actually dine in the restaurant.  I am still dreaming of the macho salad... I think I am in love!  This salad is so good it has Roasted Chicken,LkUV9AXT,2496
62,2018-03-16 17:02:37,Sacks Art of Sandwicherie is a mix of southwest,zsBBEN62,1610
63,2018-02-04 07:14:59,I heard that this new restaurant opened up recently and wanted to check it out.   I'm not usually dining or hanging out in the Westgate area of Glendale,n2tGW67u,4999
64,2018-02-24 06:54:22,"3.75 stars.\n\nFish sandwich better than most.\nScallops & chips for under $4.\nFried mushrooms and zucchini w/ranch.\nThey've got burgers too if you're getting for a group of peeps and someone isn't keen on fish.\n\nDon't bother w/the \crabettes\"" b/c they're just imitation crab sticks deep-fried. You'll also wait a good 10-20min, even at the drive-thru.\n\nBut I'd rather go here any day if given the choice b/w Pete's and a national fast-food chain. I'm not addicted, but I do have some love for Pete's.""",8l7LM2qz,4529
65,2018-03-01 16:38:17,I give this local neighborhood hot spot five stars. Owned by Pizzeria Bianco's Chris Bianco,AeNP6igY,1028
66,2018-04-08 10:38:06,"Moved into San Antigua apartment about six months ago. Right when we moved in there was issues with apartment  they didnt properly clean the apt there was hair clogging the bathtub drain and dog hair all over the carpet still. I asked maintenance people to come over THREE times because are dishwasher doesn't work and all they do is put CLR in it. I was just in the office the other day and someone was complaining about the same issue about the dishwasher.  You have to put in a maintenance call in and that took up to three weeks. Then I realize almost all the grills don't work and the tv was broken in the gym for months. Also, they were redoing the pool for about 4 months during spring time when people actually want to use the pool. They couldnt do it during winter time.  \nThey are too busy just making the outside look nice so people will rent from them. BUT after all that on a November  morning made me never.. NEVER rent from these people again. On a Monday morning I walked out my apartment to go to work a new job I just got and it's really important for me to get there on time. Well to my surprise my car was missing. I thought someone stole it and called the police immediately. I found out San Antigua had a tow company come in and just tow cars if they are park wrong at all. My car was barely on the white line like really big deal it didn't hurt anyone people could still park. So on my Monday morning I had to find this towing place which was 40 mins in the opposite direction I go to work during rush hour to get my car and pay 100 bucks. I went back to the apt complex went straight to the manager and ask How can you do this to your tenants? Oh wait I couldn't even talk to the manager she was hiding behind the door to her office and made the front girl say she was in a meeting she wasn't. She just didn't want to deal with angry tenants when I scream she finally came out and kick me out. They said there been plenty of people coming in here and upset. Well I wonder why. They said they have no control over it, which is bullshit because the towing company needs a code to even get in the complex because it's gated and they tow at night time when people are sleeping. Obviously they get money for it and the tow company is in bad area of Mesa.  There answer to everything well park better. They also kick me out of the clubhouse because I was upset. WHO WOULDN'T BE UPSET ON A MONDAY MORNING WHEN YOUR CAR MISSING BECAUSE OF APT COMPLEX THAT LETS A SHADY TOW COMPANY COME IN!! \n\nHorrific customer service skills there. They couldn't even give us a warning that they let a towing company in at night. They have no answers they instead, just kick their tenants out of the office when I confront them. The manager wouldn't even talk to me just kicked me out and the maintenance supervisor who should be busy fixing things and not standing around was rude saying things like \well maybe if you learned how to park right it wouldn't happen\"". They have no compassion or kindness for people who live there.\n\nThey don't even want to talk to you. They don't care about their tenants and how much stress they put on me. They just want money! On a side note my car was totaled from hail and I was getting rid of the car at end of the week so I have been very stressed with car issues. They are scammers and I wouldn't tell my worst enemy to move here. I can't wait until my lease is up so I can move out of here. It just really hurts me how people in this world can treat other people like this. I might lose my job today because of them! Thanks\nSan Antigua you're a real class act.""",DJO5TDI5,3048
67,2018-02-15 12:04:48,Love the service and food. Nice,S6WxBhBl,2680
