MovieID,movie_title,director_name,genres,content_rating
123,X-Men Origins: Wolverine,Gavin Hood,Action|Adventure|Fantasy|Sci-Fi|Thriller,PG-13
124,The Matrix Revolutions,Lana Wachowski,Action|Sci-Fi,R
125,Frozen,Chris Buck,Adventure|Animation|Comedy|Family|Fantasy|Musical,PG
126,The Matrix Reloaded,Lana Wachowski,Action|Sci-Fi,R
127,Thor: The Dark World,Alan Taylor,Action|Adventure|Fantasy,PG-13
128,Mad Max: Fury Road,George Miller,Action|Adventure|Sci-Fi|Thriller,R
129,Angels & Demons,Ron Howard,Mystery|Thriller,PG-13
130,Thor,Kenneth Branagh,Action|Adventure|Fantasy,PG-13
131,Bolt,Byron Howard,Adventure|Animation|Comedy|Drama|Family,PG
132,G-Force,Hoyt Yeatman,Action|Adventure|Animation|Comedy|Family|Fantasy|Sci-Fi,PG
133,Wrath of the Titans,Jonathan Liebesman,Action|Adventure|Fantasy,PG-13
134,Dark Shadows,Tim Burton,Comedy|Fantasy|Horror,PG-13
135,Mission: Impossible - Rogue Nation,Christopher McQuarrie,Action|Adventure|Thriller,PG-13
136,The Wolfman,Joe Johnston,Drama|Fantasy|Horror|Thriller,R
137,The Legend of Tarzan,David Yates,Action|Adventure|Drama|Romance,PG-13
138,Bee Movie,Steve Hickner,Adventure|Animation|Comedy|Family,PG
139,Kung Fu Panda 2,Jennifer Yuh Nelson,Action|Adventure|Animation|Comedy|Family,PG
140,The Last Airbender,M. Night Shyamalan,Action|Adventure|Family|Fantasy,PG
141,Mission: Impossible III,J.J. Abrams,Action|Adventure|Thriller,PG-13
142,White House Down,Roland Emmerich,Action|Drama|Thriller,PG-13
143,Mars Needs Moms,Simon Wells,Action|Adventure|Animation|Comedy|Family|Sci-Fi,PG
144,Flushed Away,David Bowers,Adventure|Animation|Comedy|Family,PG
145,Pan,Joe Wright,Adventure|Family|Fantasy,PG
146,Mr. Peabody & Sherman,Rob Minkoff,Adventure|Animation|Comedy|Family|Sci-Fi,PG
147,Troy,Wolfgang Petersen,Adventure,R
148,Madagascar 3: Europe's Most Wanted,Eric Darnell,Adventure|Animation|Comedy|Family,PG
149,Die Another Day,Lee Tamahori,Action|Adventure|Thriller,PG-13
150,Ghostbusters,Paul Feig,Action|Comedy|Fantasy|Sci-Fi,PG-13
151,Armageddon,Michael Bay,Action|Adventure|Sci-Fi|Thriller,PG-13
152,Men in Black II,Barry Sonnenfeld,Action|Adventure|Comedy|Family|Fantasy|Mystery|Sci-Fi,PG-13
153,Beowulf,Robert Zemeckis,Action|Adventure|Animation|Fantasy,PG-13
154,Kung Fu Panda 3,Alessandro Carloni,Action|Adventure|Animation|Comedy|Family,PG
155,Mission: Impossible - Ghost Protocol,Brad Bird,Action|Adventure|Thriller,PG-13
156,Rise of the Guardians,Peter Ramsey,Adventure|Animation|Family|Fantasy,PG
157,Fun with Dick and Jane,Dean Parisot,Comedy|Crime,PG-13
158,The Last Samurai,Edward Zwick,Action|Drama|History|War,R
159,Exodus: Gods and Kings,Ridley Scott,Action|Adventure|Drama,PG-13
160,Star Trek,J.J. Abrams,Action|Adventure|Sci-Fi,PG-13
161,Spider-Man,Sam Raimi,Action|Adventure|Fantasy|Romance,PG-13
162,How to Train Your Dragon 2,Dean DeBlois,Action|Adventure|Animation|Comedy|Family|Fantasy,PG
163,Gods of Egypt,Alex Proyas,Action|Adventure|Fantasy,PG-13
164,Stealth,Rob Cohen,Action|Adventure|Sci-Fi|Thriller,PG-13
165,Watchmen,Zack Snyder,Action|Drama|Mystery|Sci-Fi,R
166,Lethal Weapon 4,Richard Donner,Action|Crime|Thriller,R
167,Hulk,Ang Lee,Action|Sci-Fi,PG-13
168,G.I. Joe: Retaliation,Jon M. Chu,Action|Adventure|Sci-Fi|Thriller,PG-13
169,Sahara,Breck Eisner,Action|Adventure|Comedy|Thriller,PG-13
170,Final Fantasy: The Spirits Within,Hironobu Sakaguchi,Action|Adventure|Animation|Fantasy|Romance|Sci-Fi,PG-13
171,Captain America: The First Avenger,Joe Johnston,Action|Adventure|Sci-Fi,PG-13
172,The World Is Not Enough,Michael Apted,Action|Adventure|Thriller,PG-13
173,Master and Commander: The Far Side of the World,Peter Weir,Action|Adventure|Drama|History|War,PG-13
174,The Twilight Saga: Breaking Dawn - Part 2,Bill Condon,Adventure|Drama|Fantasy|Romance,PG-13
175,Happy Feet 2,George Miller,Animation|Comedy|Family|Musical,PG
176,The Incredible Hulk,Louis Leterrier,Action|Adventure|Sci-Fi,PG-13
177,Miami Vice            ,NULL,Action|Crime|Drama|Mystery|Thriller,TV-14
178,The BFG,Steven Spielberg,Adventure|Family|Fantasy,PG
179,The Revenant,Alejandro G. Iñárritu,Adventure|Drama|Thriller|Western,R
180,Turbo,David Soren,Adventure|Animation|Comedy|Family|Sport,PG
181,Rango,Gore Verbinski,Adventure|Animation|Comedy|Family|Western,PG
182,Penguins of Madagascar,Eric Darnell,Adventure|Animation|Comedy|Family,PG
183,The Bourne Ultimatum,Paul Greengrass,Action|Mystery|Thriller,PG-13
184,Kung Fu Panda,Mark Osborne,Action|Adventure|Animation|Comedy|Family,PG
185,Ant-Man,Peyton Reed,Action|Adventure|Comedy|Sci-Fi,PG-13
186,The Hunger Games: Catching Fire,Francis Lawrence,Adventure|Sci-Fi|Thriller,PG-13
187,The Twilight Saga: Breaking Dawn - Part 2,Bill Condon,Adventure|Drama|Fantasy|Romance,PG-13
188,Home,Tim Johnson,Adventure|Animation|Comedy|Family|Fantasy|Sci-Fi,PG
189,War of the Worlds,Steven Spielberg,Adventure|Sci-Fi|Thriller,PG-13
190,Bad Boys II,Michael Bay,Action|Comedy|Crime|Thriller,R
191,Puss in Boots,Chris Miller,Action|Adventure|Animation|Comedy|Family|Fantasy,PG
192,Salt,Phillip Noyce,Action|Crime|Mystery|Thriller,PG-13
193,Noah,Darren Aronofsky,Action|Adventure|Drama,PG-13
194,The Adventures of Tintin,Steven Spielberg,Action|Adventure|Family|Mystery,PG
195,Harry Potter and the Prisoner of Azkaban,Alfonso Cuarón,Adventure|Family|Fantasy|Mystery,PG
196,Australia,Baz Luhrmann,Adventure|Drama|Romance|War,PG-13
197,After Earth,M. Night Shyamalan,Action|Adventure|Sci-Fi,PG-13
198,Dinosaur,Eric Leighton,Adventure|Animation|Family|Thriller,PG
199,Harry Potter and the Deathly Hallows: Part II,Matt Birch,Action|Fantasy,NULL
200,Night at the Museum: Secret of the Tomb,Shawn Levy,Adventure|Comedy|Family|Fantasy,PG
201,Megamind,Tom McGrath,Action|Animation|Comedy|Family|Sci-Fi,PG
202,Harry Potter and the Sorcerer's Stone,Chris Columbus,Adventure|Family|Fantasy,PG
203,R.I.P.D.,Robert Schwentke,Action|Comedy|Fantasy,PG-13
204,Godzilla Resurgence,Hideaki Anno,Action|Adventure|Drama|Horror|Sci-Fi,NULL
205,Pirates of the Caribbean: The Curse of the Black Pearl,Gore Verbinski,Action|Adventure|Fantasy,PG-13
206,Harry Potter and the Deathly Hallows: Part I,Matt Birch,Fantasy,NULL
207,The Hunger Games: Mockingjay - Part 1,Francis Lawrence,Adventure|Sci-Fi|Thriller,PG-13
208,The Da Vinci Code,Ron Howard,Mystery|Thriller,PG-13
209,Rio 2,Carlos Saldanha,Adventure|Animation|Comedy|Family|Musical,G
210,X-Men 2,Bryan Singer,Action|Adventure|Fantasy|Sci-Fi|Thriller,PG-13
211,Fast Five,Justin Lin,Action|Crime|Thriller,PG-13
212,Sherlock Holmes: A Game of Shadows,Guy Ritchie,Action|Adventure|Crime|Mystery|Thriller,PG-13
213,Clash of the Titans,Louis Leterrier,Action|Adventure|Fantasy,PG-13
214,Total Recall,Paul Verhoeven,Action|Sci-Fi,R
215,The 13th Warrior,John McTiernan,Action|Adventure|History,R
216,The Bourne Legacy,Tony Gilroy,Action|Adventure|Thriller,PG-13
217,Batman & Robin,Joel Schumacher,Action,PG-13
218,How the Grinch Stole Christmas,Ron Howard,Comedy|Family|Fantasy,PG
219,The Day After Tomorrow,Roland Emmerich,Action|Adventure|Sci-Fi|Thriller,PG-13
220,Mission: Impossible II,John Woo,Action|Adventure|Thriller,PG-13
221,The Perfect Storm,Wolfgang Petersen,Action|Adventure|Drama|Thriller,PG-13
222,Fantastic 4: Rise of the Silver Surfer,Tim Story,Action|Adventure|Sci-Fi|Thriller,PG
223,Life of Pi,Ang Lee,Adventure|Drama|Fantasy,PG
224,Ghost Rider,Mark Steven Johnson,Action|Fantasy|Thriller,PG-13
225,Jason Bourne,Paul Greengrass,Action|Thriller,PG-13
226,Charlie's Angels: Full Throttle,McG,Action|Adventure|Comedy|Crime,PG-13
227,Prometheus,Ridley Scott,Adventure|Mystery|Sci-Fi,R
228,Stuart Little 2,Rob Minkoff,Adventure|Animation|Comedy|Family|Fantasy,PG
229,Elysium,Neill Blomkamp,Action|Drama|Sci-Fi|Thriller,R
230,The Chronicles of Riddick,David Twohy,Action|Adventure|Sci-Fi|Thriller,PG-13
231,RoboCop,José Padilha,Action|Crime|Sci-Fi|Thriller,PG-13
232,Speed Racer,Lana Wachowski,Action|Family|Sport,PG
233,How Do You Know,James L. Brooks,Comedy|Drama|Romance,PG-13
234,Knight and Day,James Mangold,Action|Comedy|Romance,PG-13
235,Oblivion,Joseph Kosinski,Action|Adventure|Mystery|Sci-Fi,PG-13
236,Star Wars: Episode III - Revenge of the Sith,George Lucas,Action|Adventure|Fantasy|Sci-Fi,PG-13
237,Star Wars: Episode II - Attack of the Clones,George Lucas,Action|Adventure|Fantasy|Sci-Fi,PG
238,"Monsters, Inc.",Pete Docter,Adventure|Animation|Comedy|Family|Fantasy,G
239,The Wolverine,James Mangold,Action|Adventure|Sci-Fi|Thriller,PG-13
240,Star Wars: Episode I - The Phantom Menace,George Lucas,Action|Adventure|Fantasy|Sci-Fi,PG
241,The Croods,Kirk De Micco,Adventure|Animation|Comedy|Family|Fantasy,PG
242,Asterix at the Olympic Games,Frédéric Forestier,Adventure|Comedy|Family|Fantasy,NULL
243,Windtalkers,John Woo,Action|Drama|War,R
244,The Huntsman: Winter's War,Cedric Nicolas-Troyan,Action|Adventure|Drama|Fantasy,PG-13
245,Teenage Mutant Ninja Turtles,Jonathan Liebesman,Action|Adventure|Comedy|Sci-Fi,PG-13
246,Gravity,Alfonso Cuarón,Adventure|Drama|Sci-Fi|Thriller,PG-13
247,Dante's Peak,Roger Donaldson,Action|Adventure|Thriller,PG-13
248,Teenage Mutant Ninja Turtles: Out of the Shadows,Dave Green,Action|Adventure|Comedy|Sci-Fi,PG-13
249,Fantastic Four,Josh Trank,Action|Adventure|Sci-Fi,PG-13
250,Night at the Museum,Shawn Levy,Action|Adventure|Comedy|Family|Fantasy,PG
251,San Andreas,Brad Peyton,Action|Adventure|Drama|Thriller,PG-13
252,Tomorrow Never Dies,Roger Spottiswoode,Action|Adventure|Thriller,PG-13
253,The Patriot,Roland Emmerich,Action|Drama|History|War,R
254,Ocean's Twelve,Steven Soderbergh,Crime|Thriller,PG-13
255,Mr. & Mrs. Smith,Doug Liman,Action|Comedy|Crime|Romance|Thriller,PG-13
256,Insurgent,Robert Schwentke,Adventure|Sci-Fi|Thriller,PG-13
257,The Aviator,Martin Scorsese,Biography|Drama,PG-13
258,Gulliver's Travels,Rob Letterman,Adventure|Comedy|Family|Fantasy,PG
259,The Green Hornet,Michel Gondry,Action|Comedy|Crime|Sci-Fi|Thriller,PG-13
260,The A-Team            ,NULL,Action|Adventure|Crime,TV-PG
261,300: Rise of an Empire,Noam Murro,Action|Drama|Fantasy|War,R
262,The Smurfs,Raja Gosnell,Adventure|Animation|Comedy|Family|Fantasy,PG
263,Home on the Range,Will Finn,Animation|Comedy|Family|Music|Western,PG
264,Allegiant,Robert Schwentke,Action|Adventure|Mystery|Sci-Fi|Thriller,PG-13
265,Real Steel,Shawn Levy,Action|Drama|Sci-Fi|Sport,PG-13
266,The Smurfs 2,Raja Gosnell,Adventure|Animation|Comedy|Family|Fantasy,PG
267,Speed 2: Cruise Control,Jan de Bont,Action|Crime|Romance|Thriller,PG-13
268,Ender's Game,Gavin Hood,Action|Sci-Fi,PG-13
269,Live Free or Die Hard,Len Wiseman,Action|Adventure|Thriller,PG-13
270,The Lord of the Rings: The Fellowship of the Ring,Peter Jackson,Action|Adventure|Drama|Fantasy,PG-13
271,Around the World in 80 Days,Frank Coraci,Action|Adventure|Comedy,PG
272,Ali,Michael Mann,Biography|Drama|Sport,R
273,The Cat in the Hat,Bo Welch,Adventure|Comedy|Family|Fantasy,PG
274,"I, Robot",Alex Proyas,Action|Mystery|Sci-Fi|Thriller,PG-13
275,Kingdom of Heaven,Ridley Scott,Action|Adventure|Drama|History|War,R
276,Stuart Little,Rob Minkoff,Adventure|Comedy|Family|Fantasy,PG
277,The Princess and the Frog,Ron Clements,Animation|Family|Fantasy|Musical|Romance,G
278,The Martian,Ridley Scott,Adventure|Drama|Sci-Fi,PG-13
279,"10,000 B.C.            ",Christopher Barnard,Comedy,NULL
280,The Island,Michael Bay,Action|Adventure|Romance|Sci-Fi|Thriller,PG-13
281,Town & Country,Peter Chelsom,Comedy|Romance,R
282,Gone in Sixty Seconds,Dominic Sena,Action|Crime|Thriller,PG-13
283,Gladiator,Ridley Scott,Action|Drama|Romance,R
284,Minority Report,Steven Spielberg,Action|Mystery|Sci-Fi|Thriller,PG-13
285,Harry Potter and the Chamber of Secrets,Chris Columbus,Adventure|Family|Fantasy|Mystery,PG
286,Casino Royale,Martin Campbell,Action|Adventure|Thriller,PG-13
287,Planet of the Apes,Tim Burton,Action|Adventure|Sci-Fi|Thriller,PG-13
288,Terminator 2: Judgment Day,James Cameron,Action|Sci-Fi,R
289,Public Enemies,Michael Mann,Biography|Crime|Drama|History|Romance,R
290,American Gangster,Ridley Scott,Biography|Crime|Drama,R
291,True Lies,James Cameron,Action|Comedy|Thriller,R
292,The Taking of Pelham 1 2 3,Tony Scott,Action|Crime|Thriller,R
293,Little Fockers,Paul Weitz,Comedy|Romance,PG-13
294,The Other Guys,Adam McKay,Action|Comedy|Crime,PG-13
295,Eraser,Chuck Russell,Action|Drama|Mystery|Thriller,R
296,Django Unchained,Quentin Tarantino,Drama|Western,R
297,The Hunchback of Notre Dame,Gary Trousdale,Animation|Drama|Family|Musical|Romance,G
298,The Emperor's New Groove,Mark Dindal,Adventure|Animation|Comedy|Family|Fantasy,G
299,The Expendables 2,Simon West,Action|Adventure|Thriller,R
300,National Treasure,Jon Turteltaub,Action|Adventure|Comedy|Family|Mystery,PG
301,Eragon,Stefen Fangmeier,Action|Adventure|Family|Fantasy,PG
302,Where the Wild Things Are,Spike Jonze,Adventure|Drama|Family|Fantasy,PG
303,Pan,Joe Wright,Adventure|Family|Fantasy,PG
304,Epic,Chris Wedge,Adventure|Animation|Family|Fantasy,PG
305,The Tourist,Florian Henckel von Donnersmarck,Action|Romance|Thriller,PG-13
306,End of Days,Peter Hyams,Action|Fantasy|Horror|Mystery,R
307,Blood Diamond,Edward Zwick,Adventure|Drama|Thriller,R
308,The Wolf of Wall Street,Martin Scorsese,Biography|Comedy|Crime|Drama,R
309,Batman Forever,Joel Schumacher,Action|Adventure|Fantasy,PG-13
310,Starship Troopers,Paul Verhoeven,Action|Sci-Fi|War,R
311,Cloud Atlas,Tom Tykwer,Drama|Sci-Fi,R
312,Legend of the Guardians: The Owls of Ga'Hoole,Zack Snyder,Action|Adventure|Animation|Family|Fantasy,PG
313,Catwoman,Pitof,Action|Crime|Fantasy|Romance|Thriller,PG-13
314,Hercules,Brett Ratner,Action|Adventure,PG-13
315,Treasure Planet,Ron Clements,Adventure|Animation|Family|Sci-Fi,PG
316,Land of the Lost,Brad Silberling,Adventure|Comedy|Sci-Fi,PG-13
317,The Expendables 3,Patrick Hughes,Action|Adventure|Thriller,PG-13
318,Point Break,Ericson Core,Action|Crime|Sport|Thriller,PG-13
319,Son of the Mask,Lawrence Guterman,Comedy|Family|Fantasy,PG
320,In the Heart of the Sea,Ron Howard,Action|Adventure|Biography|Drama|History|Thriller,PG-13
321,The Adventures of Pluto Nash,Ron Underwood,Action|Comedy|Sci-Fi,PG-13
322,Green Zone,Paul Greengrass,Action|Drama|Thriller|War,R
323,The Peanuts Movie,Steve Martino,Adventure|Animation|Comedy|Family,G
324,The Spanish Prisoner,David Mamet,Drama|Mystery|Thriller,PG
325,The Mummy Returns,Stephen Sommers,Action|Adventure|Fantasy|Thriller,PG-13
326,Gangs of New York,Martin Scorsese,Crime|Drama,R
327,The Flowers of War,Yimou Zhang,Drama|History|Romance|War,R
328,Surf's Up,Ash Brannon,Animation|Comedy|Family|Sport,PG
329,The Stepford Wives,Frank Oz,Comedy|Sci-Fi|Thriller,PG-13
330,Black Hawk Down,Ridley Scott,Drama|History|War,R
331,The Campaign,Jay Roach,Comedy,R
332,The Fifth Element,Luc Besson,Action|Adventure|Sci-Fi,PG-13
333,Sex and the City 2,Michael Patrick King,Comedy|Drama|Romance,R
334,The Road to El Dorado,Bibo Bergeron,Adventure|Animation|Comedy|Family|Romance,PG
335,Ice Age: Continental Drift,Steve Martino,Adventure|Animation|Comedy|Family,PG
336,Cinderella,Kenneth Branagh,Drama|Family|Fantasy|Romance,PG
337,The Lovely Bones,Peter Jackson,Drama|Fantasy|Thriller,PG-13
338,Finding Nemo,Andrew Stanton,Adventure|Animation|Comedy|Family,G
339,The Lord of the Rings: The Return of the King,Peter Jackson,Action|Adventure|Drama|Fantasy,PG-13
