ListID,MusicID_R,MovieID_R,WineID_R,RestaurantID_R,GiftID_R
100,16338,4266,4111,11957,1301
101,5863,680,3771,4981,8156
102,42462,3204,3686,10153,7254
103,11555,2138,809,4947,6582
104,17124,3404,3622,7539,8490
105,68100,795,1652,9367,6449
106,2637,910,1029,2270,4492
107,62216,4203,4045,1355,5216
108,14365,3691,4385,6069,8027
109,18990,4794,3938,3884,9648
110,5635,4597,1087,1458,1127
111,62326,4343,161,8655,497
112,72296,2989,4486,11011,1168
113,215,1913,287,11131,8694
114,41189,3439,4585,12582,3584
115,70213,1756,515,6177,2682
116,53196,1847,4861,6100,6480
117,60844,3698,3405,5752,6657
118,10771,2791,259,3444,6895
119,19791,3672,2440,4322,4000
120,37183,1746,1297,6294,3026
121,31037,4189,3535,12570,9157
122,26641,4622,3336,6295,9841
123,15747,807,4304,5521,8481
124,13299,2982,4328,6545,4412
125,8534,1064,2607,6949,4122
126,13715,1331,2135,11516,307
127,36835,2606,4821,11332,8932
128,72711,3524,2474,2712,6226
129,16649,1207,1073,8321,5398
130,22015,3590,4208,5621,4326
131,64981,992,4242,4324,3591
132,43969,4529,1597,7680,476
133,45957,1092,3943,1393,5651
134,47385,3975,473,9865,8383
135,51482,3518,3386,6323,9757
136,8074,2600,357,7114,6345
137,50981,3580,383,2115,9472
138,65158,2598,3292,6227,4685
139,42673,579,389,9502,8047
140,27677,4020,1009,986,5084
141,30736,832,1914,11384,6986
142,7253,3152,1803,4821,8498
143,53063,3364,2876,4685,8086
144,36110,4496,297,3360,3833
145,22616,3540,76,719,6430
146,14377,526,1414,257,2477
147,62383,2994,3586,8875,5154
148,56914,4752,4818,2192,781
149,57966,4995,3528,2779,6779
150,2140,4676,4454,12651,5166
151,45548,1461,405,390,1874
152,20300,2980,1031,4813,5105
153,9149,1801,2093,8311,5285
154,58524,1838,1069,7647,2300
155,61074,1214,4082,2932,1034
156,57708,3323,165,11157,3206
157,14805,2046,605,10344,4097
158,66955,2542,3016,10112,723
159,73069,2671,4624,11757,9459
160,38733,452,4684,878,4515
161,49753,1643,4368,4828,1999
162,12028,3551,4066,6861,1438
163,7825,3808,2768,10036,7052
164,21882,2185,1095,138,5558
165,63514,1711,1963,10605,7073
166,25042,4685,1832,12609,4765
167,59725,4488,343,11704,6943
168,43337,1055,3532,12667,7738
169,56225,2550,3160,3555,8363
170,31972,576,1867,7069,1771
171,27578,3662,2258,4057,6532
172,33887,1896,1440,4078,7156
173,27376,254,2672,10916,6879
174,20755,2530,4382,5962,1591
175,33446,3501,4868,4491,7345
176,70795,1678,2905,3742,9891
177,44150,2469,3985,1186,3447
178,32220,1491,2844,9568,6072
179,390,2429,131,4186,314
180,24429,575,1779,7728,4704
181,29737,4765,3246,6202,3465
182,32724,4571,546,974,9974
183,89,4487,3815,12591,7381
184,32349,3780,1729,965,6269
185,23264,273,4518,12505,3336
186,20178,1769,3269,9174,2441
187,20505,2928,1470,9849,5599
188,37796,4244,4541,12647,7157
189,25298,3701,2216,7928,6714
190,65509,904,1225,2476,6583
191,62235,4186,4537,5965,5847
192,63991,1582,1331,11791,2549
193,1669,1571,3213,9044,7039
194,46052,2885,1068,9391,4432
195,8329,1660,2203,3144,6846
196,72951,1559,2595,12579,6164
197,59331,4281,112,1659,381
198,64994,2330,3163,3408,9353
199,38870,1120,4072,8424,3822
200,13431,1513,3233,4465,6579
201,45085,131,1843,11129,8370
202,51999,3479,2110,10807,8814
203,48346,2112,598,1701,3805
204,37118,2068,1253,7973,8895
205,41126,2724,2762,842,9571
206,45816,4243,846,6322,4036
207,38375,3169,4714,12013,6148
208,72860,1621,3044,545,6052
209,55314,3123,2254,3435,5976
210,53787,2212,1030,6590,8992
211,27795,3641,1782,9262,9702
212,36261,2901,2678,11231,8279
213,21673,4973,3977,1155,6053
214,20751,845,4596,917,2559
215,22725,753,869,7510,7782
216,7906,86,653,9506,3626
217,870,2708,4491,8745,6144
218,2931,3165,4119,1808,6554
219,29624,4852,2000,9203,4869
220,41893,4894,3222,12483,7241
221,30240,3460,1815,4740,6433
222,44166,202,1893,1974,8398
223,54063,3338,693,4985,8316
224,25361,4361,3972,12113,4494
225,12732,2712,832,2096,3144
226,50832,4774,3848,4575,2276
227,5573,1365,3792,2549,8185
228,22072,1481,3879,5696,7838
229,51801,3423,4468,12598,5418
230,14877,282,303,7422,1098
231,26127,3945,2556,5625,2887
232,59946,4809,4356,452,4796
233,21983,4756,3638,8352,2326
234,16552,3849,92,5644,1846
235,58215,573,1304,4348,7946
236,16346,149,4283,11339,6430
237,33302,1349,3312,8539,625
238,53894,3089,4348,7064,4283
239,57837,870,3840,1534,3618
240,18319,3634,1032,3521,4017
241,70738,371,4180,3568,9158
242,66690,4258,2885,11284,5841
243,6380,670,2012,1592,6236
244,24170,4954,2076,2791,7607
245,54385,367,748,9744,5524
246,60450,609,178,8056,9848
247,19833,4048,3431,12550,1989
248,34908,152,1688,7832,776
249,11439,4107,3400,12650,3843
250,59466,2818,2934,4773,6460
251,199,900,3370,4468,2323
252,42955,2953,1507,5085,4778
253,28964,659,1683,809,7484
254,65007,541,2816,4717,339
255,69212,4284,1605,881,1348
256,431,2071,586,6746,3983
257,45597,3694,3525,7150,5976
258,37103,531,1841,111,7438
259,12012,275,183,1842,6269
260,54059,1445,2374,12546,5232
261,64520,3595,2053,4707,7877
262,11220,2148,4452,4890,3946
263,43627,227,1974,7131,1463
264,60426,1524,3878,4495,3688
265,12202,1223,87,3155,6848
266,1852,390,3599,8272,2196
267,44652,4518,2577,7640,588
268,44937,373,4207,5429,271
269,27850,2963,3146,6299,2933
270,831,1861,4286,5535,713
271,3248,4451,1393,9904,1336
272,56715,2523,1205,3901,8152
273,28201,2354,1979,9461,7109
274,34876,1683,4846,7000,4198
275,40102,2710,685,150,9052
276,62577,2792,2850,4808,4658
277,5757,2576,4442,6137,1513
278,29804,4161,399,9239,8610
279,71548,1332,4874,4344,1263
280,8024,3215,784,1941,1543
281,38419,4222,3475,1182,2656
282,65858,1297,1326,9822,3961
283,49773,2446,319,10954,3046
284,31364,3899,1340,6926,9309
285,23833,2835,3177,9926,7138
286,61435,935,934,2084,7998
287,2303,1707,2122,10364,8032
288,1978,942,2414,5244,5747
289,1468,1033,3819,6480,6833
290,35329,1256,4661,4986,1235
291,52669,4718,4229,10963,3363
292,42059,2552,140,4521,6973
293,14988,914,1942,11830,2986
294,29594,1270,2432,8606,6749
295,18755,1115,3384,8757,4285
296,36174,501,4638,3407,9845
297,49084,22,4420,7930,3222
298,57189,2140,4282,2620,5119
299,62528,160,109,8219,3955
300,64504,2520,126,446,3982
301,7436,2599,791,10483,2370
302,35384,2958,4873,12170,1585
303,12938,1885,1166,2216,750
304,9925,346,2231,160,7523
305,37069,72,560,7593,8493
306,36258,2480,2916,6195,3149
307,34501,1372,20,9812,6855
308,35235,4528,755,8265,3779
309,60628,2131,1359,9570,1653
310,31671,3706,2529,6435,9762
311,2321,972,915,7051,8787
312,9568,1833,2307,4422,9671
313,8145,1853,2717,7979,8982
314,29193,2365,339,12652,911
315,31523,487,1105,4639,5823
316,60363,3896,3232,4343,9652
317,26715,2797,1579,9697,5308
318,50896,2264,1371,9986,7222
319,62336,458,1254,3377,3110
320,7100,642,3299,7982,1053
321,23458,3150,1772,11251,8693
322,22213,587,4979,5302,6860
323,25044,2985,558,3060,5899
324,30938,4905,4404,2611,3699
325,19014,2793,2417,5473,6493
326,1103,2783,1870,7526,3724
327,5257,2858,979,5502,504
328,42663,813,4760,8694,7744
329,62892,1416,2372,849,2659
330,61617,4596,3709,5707,7241
331,57885,1630,3123,4452,8279
332,57190,1143,4591,7792,1412
333,6452,4610,2473,12451,1008
334,5239,1602,3729,391,9697
335,52836,4442,3186,3273,3978
336,62510,4947,3479,6798,3041
337,13695,3442,125,10774,2818
338,56270,660,3287,381,8331
339,19456,1435,2622,4814,4728
340,58198,496,4501,1983,3102
341,26827,1536,701,582,9272
342,28149,4512,2884,2103,3984
343,26756,112,142,681,6889
344,38229,3134,3656,4306,5878
345,56926,4308,1552,10005,6399
346,65961,146,2363,5841,5310
347,31349,1998,5,5224,3573
348,39908,4763,1430,3098,1706
349,10359,3195,2550,9164,3461
350,20971,3477,64,1993,7772
351,11797,314,4171,10010,3981
352,1326,238,1456,4106,8983
353,69747,726,3740,9228,2833
354,52867,4953,3897,1832,6829
355,8038,577,1134,8042,4921
356,52439,2641,2878,5915,9128
357,57506,4060,2863,10078,5778
358,29913,4540,3037,10861,3376
359,36157,938,1951,6557,7509
360,4509,3750,4715,11844,5196
361,2385,4179,2889,920,8430
362,14061,1058,2582,4410,3264
363,29643,3343,454,1805,7452
364,10814,4544,2576,2299,3660
365,35122,3068,3182,8521,5842
366,57261,4635,4920,11515,9445
367,57787,1781,154,377,4237
368,25753,1380,3184,1690,6841
369,10681,4099,2323,11501,1562
370,67531,2739,1611,5587,8889
371,64550,4804,2615,5408,8873
372,33641,1804,723,8722,8795
373,71793,2440,4065,6366,9450
374,49464,2198,4880,3583,8729
375,64557,4904,352,7428,5827
376,72143,410,2074,575,2833
377,49020,1718,2591,1302,2521
378,22081,2653,2131,1428,1261
379,43962,395,141,4318,5756
380,59975,201,2225,3243,5473
381,32665,3205,227,2909,4896
382,51397,3284,1561,73,1152
383,10223,5011,778,1166,8632
384,48269,650,4529,364,4378
385,30193,4055,200,10686,2454
386,19410,2504,4170,2797,1207
387,29453,4142,4762,9386,5377
388,19849,1068,423,10708,8552
389,68984,1813,2410,11382,3415
390,47657,4098,451,13,7663
391,56612,3735,3966,3582,5132
392,60358,181,3263,7264,5428
393,57068,2158,2504,9637,4745
394,74179,3716,4583,10673,6408
395,5057,2162,3150,626,1868
396,53796,4450,2692,8810,1114
397,15557,2995,4560,9150,1336
398,67330,2711,3861,839,5943
399,16397,1016,3623,1893,5394
400,23863,4760,3013,7652,9667
401,55597,215,2072,3008,7789
402,54985,2861,14,5562,1475
403,11925,1440,2994,11455,4097
404,39836,2409,2959,9705,5949
405,37563,518,3660,3293,3281
406,34800,2326,3390,1396,9919
407,22095,1231,3806,276,2167
408,37451,4070,1396,6547,8730
409,79,162,654,12259,4788
410,17374,1305,2367,6803,474
411,17120,2687,1421,4428,1024
412,24375,3967,486,1673,4265
413,49241,3339,3922,5392,3557
414,11893,4775,2489,4861,5690
415,26494,2122,640,10956,2479
416,68530,2001,478,6992,8140
417,32518,1414,895,10128,8371
418,51194,3401,686,10406,1479
419,30231,1185,4716,206,4365
420,21511,2852,2309,7139,6531
421,37516,3872,4426,7477,8385
422,43349,4818,24,3485,3414
423,52394,2811,2436,9074,8944
424,18365,63,3800,5175,4060
425,20535,4886,4619,2416,5134
426,10588,3269,2353,7048,8879
427,10661,405,4081,2509,9030
428,26959,327,2289,11938,4781
429,8931,212,4749,4159,478
430,4130,4740,2492,1189,4713
431,72673,4812,3648,9805,5989
432,47724,3748,3858,4800,1446
433,48966,3744,2839,2943,3910
434,47970,1343,38,12708,6051
435,56994,4196,919,12216,8563
436,49670,3405,3342,11959,6597
437,47329,4714,4771,11271,482
438,31503,1379,4056,4735,7741
439,70280,2814,4212,9267,3199
440,5958,1374,4994,6669,4425
441,16721,2676,2069,11956,8927
442,35452,1152,1745,3020,2588
443,36018,4015,1492,8797,8907
444,34670,2382,2406,10434,6655
445,37418,1500,948,4823,3445
446,32900,3950,102,4523,2771
447,14548,802,2893,1241,6639
448,31063,2591,365,4217,1300
449,15093,1220,2500,6638,3360
450,57536,4305,2387,10141,2796
451,55247,4036,418,3850,4558
452,47977,3056,3069,1812,560
453,47340,928,4175,5549,8087
454,6603,2151,1148,6013,9618
455,55459,2720,3264,10932,2429
456,21375,1434,1600,7244,7772
457,16182,460,3091,379,7321
458,28088,916,1468,199,7346
459,67437,289,435,9075,1742
460,58865,1238,1904,11536,4910
461,11405,1502,386,4620,4394
462,48032,3122,3313,12418,7760
463,9811,1666,3385,4308,4249
464,19277,3276,1554,5295,5969
465,5985,3511,2399,7720,5029
466,69628,3974,3930,2588,1523
467,35055,2988,4843,8981,4410
468,59812,1034,429,9656,6347
469,43053,298,746,4826,8742
470,63367,588,359,11415,6297
471,1336,2636,233,9756,9049
472,15338,790,4590,9703,7344
473,31748,246,1186,4413,5046
474,21782,269,2379,1022,6547
475,45790,2544,328,8421,1342
476,4306,4572,2205,7505,7418
477,878,2438,481,6248,8720
478,23350,4333,234,3564,9085
479,8464,4133,4903,11664,4420
480,13564,2478,168,893,1902
481,24884,3469,2148,8530,6644
482,71233,2247,871,11465,7602
483,18995,1156,3249,8395,2519
484,4943,3121,3134,1103,9313
485,32657,1342,3375,2347,3881
486,24652,5016,759,1004,9029
487,26603,3385,4076,6843,9288
488,46698,1548,1178,4537,8391
489,61682,4554,842,580,2311
490,7907,1228,1303,550,5026
491,24866,3616,4447,10151,2473
492,66598,4125,4915,11430,2726
493,44602,4659,743,6124,1536
494,69889,513,4742,11992,3203
495,60301,1255,209,9757,1365
496,31149,4655,4362,11387,3526
497,48683,3008,1531,7759,2991
498,347,422,4694,12757,554
499,49387,3371,2403,11327,6966
500,65170,769,4927,9242,9603
501,49230,3522,2789,341,3895
502,12024,3619,4792,7586,2640
503,7251,2688,3744,3403,6203
504,41973,2061,3040,6727,6491
505,54836,2432,677,1868,9806
506,32567,3601,1784,6175,6057
507,15025,2654,3824,5142,6545
508,3571,1970,4412,1794,996
509,62509,3534,1781,12586,8518
510,18605,3031,4826,8166,2533
511,60132,311,2021,7143,1620
512,34525,165,479,12058,3468
513,7058,1837,1722,9428,5254
514,29695,1845,3088,5124,6684
515,73468,823,387,1734,4234
516,11136,3492,3630,259,2396
517,24974,2697,390,5598,8671
518,55075,4717,4647,788,7323
519,49565,1649,825,8678,696
520,2505,3489,551,4421,8078
521,28416,1341,2563,11760,7400
522,28782,1198,4134,3803,2047
523,33644,600,2232,3857,4685
524,29488,3425,2350,4597,3477
525,41920,4130,3563,252,7727
526,15548,849,3403,10360,7744
527,56834,480,4374,4732,9125
528,27750,2819,976,9466,7155
529,48739,122,4274,12764,6887
530,59536,10,2446,11865,5781
531,20906,2110,1819,10926,5684
532,16952,4892,1702,12293,7971
533,4476,1803,3907,11881,1940
534,65260,3096,2304,4331,1498
535,52162,4322,556,3054,2645
536,54877,67,762,6985,8318
537,21944,2661,1043,3961,3516
538,27709,3036,3215,6645,5365
539,11923,4076,4108,3925,4497
540,65778,2302,3072,1288,9726
541,21060,4553,3096,3038,721
542,32141,3665,4527,9940,5806
543,60324,787,1957,12784,4348
544,61450,1249,262,242,1241
545,53264,997,245,11726,4943
546,68558,4471,3318,12761,3787
547,62661,2379,4768,1239,6772
548,15141,4587,4102,10488,4358
549,65935,1463,571,9258,5277
550,41536,64,4528,10370,3850
551,8945,113,4669,3087,6691
552,71511,613,4051,10558,6539
553,43930,954,2897,9383,3759
554,36420,1614,2640,3305,1382
555,14906,2235,2437,6510,4486
556,11114,3238,3993,4726,2378
557,8507,486,4490,8459,3942
558,8595,2295,11,1567,8036
559,71134,1512,4085,12549,2824
560,21774,3861,1154,3417,2209
561,42072,1458,232,12615,9934
562,27200,105,1025,7600,3262
563,52034,4414,4172,11839,6781
564,49956,321,2765,5272,5492
565,40709,3841,3890,5850,7367
566,58097,412,2637,902,3504
567,6941,1240,1586,9964,7630
568,6948,693,483,10884,9482
569,14576,4645,2799,5545,8362
570,24651,4782,2116,12765,8857
571,30032,1110,368,9406,3752
572,20041,2035,4003,6454,5308
573,56038,2017,1532,8954,6007
574,7725,3451,4040,2300,7632
575,32993,2190,3849,110,3231
576,11490,1966,1916,6583,9134
577,74178,3020,3839,329,4127
578,67065,2007,2166,12469,2068
579,29433,3461,4086,5064,4724
580,64671,2845,3827,9346,3252
581,39630,1485,679,614,6048
582,18844,2882,891,9327,9409
583,44583,3582,4691,4822,8092
584,39260,4172,2149,2325,9112
585,12304,3560,1459,12037,1131
586,38248,4574,2348,6219,1034
587,67919,3925,1269,1205,6923
588,43358,829,4372,5551,9765
589,35240,1184,1067,716,4551
590,36605,2735,4183,7674,5830
591,35249,325,1295,6370,5331
592,39588,1326,3933,8106,5017
593,30889,537,4788,3975,987
594,42210,939,2222,10971,7222
595,38617,775,4612,9291,9784
596,2837,3707,2331,2858,6036
597,49661,3895,3483,140,8033
598,43392,4551,2357,2251,3647
599,60024,1391,213,3610,9040
600,1990,1202,4628,6258,4048
601,10482,1583,3941,8976,5900
602,17856,29,1489,10471,4252
603,64235,189,3272,247,8756
604,57029,1511,928,1940,9393
605,19829,3989,637,10900,3587
606,31214,3594,1575,9036,4897
607,28094,4330,3510,5937,9035
608,2850,2130,1550,457,5879
609,15591,1400,2398,7431,3138
610,49985,4750,3741,9585,3396
611,71616,4675,1473,6238,8977
612,31998,2635,4031,9249,6849
613,21107,1112,2003,3254,8366
614,24250,1036,2715,7987,9068
615,58537,3516,3353,10947,2081
616,50422,23,2220,8906,1612
617,35945,3843,1837,11777,7649
618,53757,5027,849,11282,8821
619,19703,430,108,8641,6114
620,12551,2776,272,6269,9885
621,72607,2998,2402,5444,2840
622,57005,713,3306,3544,8039
623,41866,3184,1676,8696,6053
624,49278,1298,3867,316,4199
625,51304,2278,3514,1200,6267
626,55074,2114,202,1931,826
627,61975,5028,4132,5238,729
628,51543,1568,88,7068,1466
629,50561,3719,3876,7243,3026
630,22990,4667,210,1892,3119
631,55266,4090,3862,7231,7546
632,65874,3142,2305,4255,7390
633,72823,2087,2321,4155,3498
634,1959,764,4419,7140,9669
635,61825,1219,2090,3667,7184
636,13559,1595,4127,5472,2915
637,54183,3786,4523,8616,3675
638,7036,550,248,11943,9095
639,58588,75,1641,8261,9569
640,41638,3487,1753,4852,5125
641,53730,3784,2048,726,8666
642,59119,735,508,1719,3904
643,50040,111,2784,10118,5592
644,41898,4795,647,6540,9427
645,15218,3806,1587,4114,2187
646,2582,4375,1258,9039,6239
647,73034,4207,4495,12797,9546
648,16002,3382,1997,418,6571
649,73334,2361,3787,10888,7493
650,73958,4642,4324,7047,5024
651,2124,3783,1658,501,1525
652,13208,4165,4155,8222,3211
653,46740,3266,4084,11055,1966
654,731,4726,692,3829,8758
655,47734,1773,1512,5084,9018
656,26780,1607,378,3684,2275
657,70548,3771,4381,6674,1019
658,41548,4380,1699,10780,3776
659,50147,1744,289,7958,5803
660,31690,3564,458,7106,6558
661,32858,2098,3361,7630,7049
662,55796,4603,4829,2816,6154
663,15782,219,4112,7177,1717
664,3292,4534,4078,2382,1287
665,7427,3095,3323,9607,1464
666,3541,3642,1332,2411,3501
667,2344,2287,1407,12690,4691
668,53802,3983,2241,7644,1806
669,54411,2847,568,10654,8886
670,10518,4114,3381,7778,5559
671,64855,3822,3094,7358,9390
672,9902,2800,309,11097,6898
673,2324,3265,532,6276,6637
674,13792,4204,3460,6999,6565
675,61506,4462,4287,11117,5342
676,65125,3446,3183,9008,2934
677,73188,236,3393,1333,4396
678,34951,3176,2150,9785,3979
679,27176,2027,2551,1650,7622
680,68223,520,1266,3920,7017
681,3053,4609,2476,9316,1491
682,15424,4241,4939,3513,6243
683,3174,73,2870,11363,8133
684,52385,398,1660,11448,1484
685,55879,3445,4301,4678,3703
686,16742,2751,4179,7093,8652
687,17825,1617,4756,278,1371
688,67659,4427,1391,9127,5661
689,62678,1985,3601,6521,3436
690,7830,59,3989,1191,8135
691,49634,403,3049,8561,8690
692,22874,1000,3473,5887,4912
693,37716,1131,502,11874,5841
694,52521,329,3875,5927,862
695,27877,2422,853,7145,798
696,55985,4649,94,9220,6270
697,41590,481,725,3948,8205
698,14948,144,2209,10403,2160
699,53934,2208,740,2684,9114
700,65137,4053,1079,2537,8014
701,7157,2477,4815,9279,4337
702,24042,3177,1316,11769,7661
703,73853,879,764,6319,6459
704,55884,3781,4001,12774,6868
705,13967,3708,2011,7497,1558
706,1634,1312,2744,273,5610
707,48657,4838,1161,11818,2286
708,43220,3110,4460,12563,8210
709,25398,2615,4524,2681,774
710,17296,4873,4914,4080,1061
711,52527,4,2315,6249,1903
712,23276,171,2163,1877,5961
713,31979,4982,15,6817,6983
714,21919,1902,4796,9483,2477
715,5161,1010,1228,10222,7013
716,73170,2200,1284,4426,5283
717,18562,2319,2627,10656,6967
718,11484,959,3770,6944,9794
719,38548,4985,3644,10770,7846
720,66900,1802,3793,8078,7308
721,10876,411,1610,1233,1663
722,5585,2965,485,9229,8124
723,49383,365,3172,3945,2683
724,47666,1315,4550,12479,6911
725,19868,2959,2815,7332,5089
726,72294,4121,4712,4752,4628
727,15657,674,1172,8065,1457
728,46556,3327,2063,11781,896
729,23049,1224,3092,3892,2934
730,64265,1855,3125,12281,3935
731,33406,4778,4574,8492,1448
732,69120,3734,277,5042,9675
733,5378,2968,3397,2058,6076
734,52103,1659,2681,120,7788
735,11071,2860,3689,8820,4404
736,18561,1196,3681,12703,1971
737,11656,4378,4701,3120,8104
738,56472,3992,2694,6123,1601
739,43514,4208,447,10224,997
740,3724,1916,4600,9977,4309
741,29618,4263,39,12386,771
742,1726,1635,1769,4083,7744
743,39719,2531,817,1385,1322
744,27600,2567,3223,5422,9280
745,31631,1197,1773,8550,1822
746,34557,4779,2218,5147,3203
747,58252,2447,2345,9055,9087
748,50853,3130,3469,3331,3671
749,20978,1317,363,4044,4259
750,15315,2768,1152,12086,6154
751,73531,1409,524,2086,4972
752,768,312,4599,2181,9836
753,9531,2841,2301,12683,9025
754,71957,1822,1548,10385,5870
755,13357,3898,1711,7660,4732
756,2120,1454,4597,8490,954
757,28597,1951,1577,4381,3660
758,4574,3649,3743,513,6235
759,18640,3804,2727,2136,8190
760,61416,4845,1657,7490,9606
761,4502,3075,2455,9216,5011
762,19992,127,773,346,7556
763,39544,2352,4565,651,8394
764,42357,2234,4621,2309,5131
765,5813,1162,1454,10792,9422
766,11131,3244,804,6045,6983
767,59247,4340,923,12139,3189
768,18148,3432,1905,3453,4331
769,47056,4841,3433,4105,7956
770,7835,3086,2523,5419,8576
771,23108,664,602,1439,4825
772,18939,491,1153,12358,6394
773,13000,4392,2688,11648,943
774,4100,530,4725,8085,6261
775,61574,2096,2605,7315,6165
776,58540,2074,1580,8252,9829
777,19716,2626,3613,1904,8960
778,13919,667,3673,4680,4125
779,22306,3608,3347,6597,1615
780,63190,4074,4140,7398,2278
781,54958,3137,3498,11397,1224
782,24714,2539,4632,2980,5958
783,40849,1857,963,7964,2994
784,57894,4372,2791,10682,7314
785,61271,748,829,12210,9457
786,43645,399,2317,6274,9790
787,71722,3623,2438,5016,8943
788,2733,4140,2174,9901,5703
789,5407,3353,3874,6784,2616
790,20646,3378,4947,8446,2708
791,58928,4003,311,293,9861
792,62098,3146,55,11888,1908
793,63476,4651,3048,5095,4355
794,36840,4483,2085,1702,921
795,11434,3147,3032,955,5919
796,54652,2978,3799,11514,1543
797,36613,2737,1350,10564,2985
798,32035,409,467,7853,4180
799,52511,4057,4476,5668,7454
800,4666,1922,3651,7562,3930
801,64097,315,2162,6166,4133
802,20628,803,4806,6558,9648
803,34200,208,4421,4818,7658
804,41312,3884,811,7234,5139
805,72184,2318,4403,5048,3189
806,57002,363,2882,8565,8487
807,53171,3393,3020,11834,6218
808,61384,499,1450,767,3401
809,70986,3741,3325,2562,1817
810,25435,1419,2890,10513,956
811,54282,1955,2470,1851,907
812,15678,1382,1389,9359,6446
813,24340,707,4268,8278,4643
814,38638,1050,4521,5689,8645
815,8636,3388,3112,7214,7602
816,1625,322,4154,12701,3753
817,22495,1242,118,1457,8998
818,4411,861,1349,5955,2120
819,44373,4972,3885,5145,6730
820,48139,1734,3789,6748,2399
821,38792,4331,4305,12047,3788
822,8304,33,439,183,6690
823,31669,851,4999,3895,5136
824,19122,4086,1033,166,9044
825,39691,4381,4448,4569,4509
826,4668,1629,1593,5613,5556
827,33755,5037,2094,63,9141
828,64540,629,3957,8865,1453
829,55918,2677,2139,3934,4574
830,17864,2231,4497,4158,5523
831,46643,1954,172,11270,8080
832,44425,544,1715,565,2606
833,71404,4491,453,8556,6716
834,34550,3466,4744,5442,1513
835,39645,1387,163,294,1905
836,34113,2410,4221,10804,4383
837,55604,77,4750,3893,1868
838,19956,394,312,5109,2060
839,54390,1149,3012,3426,4437
840,32653,370,3003,4354,903
841,13947,4724,1930,672,7855
842,63318,1775,4052,1876,7564
843,27122,1448,2943,11872,1513
844,50872,756,4732,2345,9329
845,51872,3613,2066,11018,2028
846,36179,372,4260,11607,9759
847,43701,1226,2578,9555,2787
848,939,2913,3608,10552,7792
