MusicID,Track Name,Artist,Genres
155,I Would Like,Zara Larsson,EDM
156,PILLOWTALK,ZAYN,EDM
157,Ni**as In Paris,JAY Z,Blues
158,Lot to Learn,Luke Christopher,Reggae
159,No Type,Rae Sremmurd,Classical
160,Wicked,Future,Rock
161,Black Barbies,Nicki Minaj,Hip hop
162,Cut It (feat. Young Dolph),O.T. Genasis,Blues
163,What They Want,Russ,EDM
164,Rockin’,The Weeknd,Hip hop
165,LUV,Tory Lanez,EDM
166,Hymn For The Weekend - Seeb Remix,Coldplay,Blues
167,oui,Jeremih,Classical
168,My Way,Calvin Harris,Pop
169,My Shit,A Boogie Wit da Hoodie,Reggae
170,Still Here,Drake,EDM
171,You & Me,Marc E. Bassy,EDM
172,Should I Stay or Should I Go - Remastered,The Clash,Country
173,Steady 1234 (feat. Jasmine Thompson & Skizzy Mars),Vice,EDM
174,Light It Up (feat. Nyla & Fuse ODG) - Remix,Major Lazer,Reggae
175,Stand By Me,Otis Redding,Country
176,Trap Queen,Fetty Wap,Blues
177,Me and Julio Down by the Schoolyard,Paul Simon,Country
178,Party,Chris Brown,Rock
179,Don't Worry Be Happy,Bobby McFerrin,Hip hop
180,By Your Side,Jonas Blue,Pop
181,I Got You,Bebe Rexha,Pop
182,Timeless (DJ SPINKING),A Boogie Wit da Hoodie,Pop
183,Lighthouse - Andrelli Remix,Hearts & Colors,Classical
184,Middle,DJ Snake,Rock
185,Really Really,Kevin Gates,Hip hop
186,ABC,The Jackson 5,Classical
187,Good Drank,2 Chainz,Rock
188,Wyclef Jean,Young Thug,Rock
189,(What A) Wonderful World - Remastered,Sam Cooke,Blues
190,Living Single,Big Sean,Reggae
191,Let Me Explain,Bryson Tiller,Pop
192,Go Flex,Post Malone,Reggae
193,(I Can't Get No) Satisfaction - Mono Version / Remastered 2002,The Rolling Stones,Classical
194,She's Mine Pt. 1,J. Cole,Pop
195,False Alarm,The Weeknd,Rock
196,Ignition - Remix,R. Kelly,EDM
197,679 (feat. Remy Boyz),Fetty Wap,Blues
198,I Don't Fuck With You,Big Sean,Rock
199,You Can't Hurry Love - 2016 Remastered,Phil Collins,Blues
200,For Free,DJ Khaled,Rock
201,Bad and Boujee (feat. Lil Uzi Vert),Migos,EDM
202,Fake Love,Drake,Classical
203,Starboy,The Weeknd,Pop
204,Closer,The Chainsmokers,Classical
205,Black Beatles,Rae Sremmurd,Country
206,Caroline,Aminé,Blues
207,Bounce Back,Big Sean,Rock
208,Bad Things (with Camila Cabello),Machine Gun Kelly,Blues
209,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,Hip hop
210,I Feel It Coming,The Weeknd,Blues
211,Broccoli (feat. Lil Yachty),DRAM,Classical
212,Let Me Love You,DJ Snake,Hip hop
213,One Dance,Drake,Pop
214,Don't Wanna Know,Maroon 5,Blues
215,24K Magic,Bruno Mars,Pop
216,X (feat. Future),21 Savage,Reggae
217,Deja Vu,J. Cole,Pop
218,Starving,Hailee Steinfeld,Blues
219,Chill Bill,Rob $tone,Hip hop
220,In the Name of Love,Martin Garrix,Rock
221,Say You Won't Let Go,James Arthur,Hip hop
222,Party Monster,The Weeknd,Blues
223,No Heart,21 Savage,EDM
224,Side To Side,Ariana Grande,Classical
225,Heathens,Twenty One Pilots,Blues
226,Sneakin’,Drake,Hip hop
227,OOOUUU,Young M.A,Country
228,iSpy (feat. Lil Yachty),KYLE,Pop
229,You Was Right,Lil Uzi Vert,Blues
230,All We Know,The Chainsmokers,Pop
231,Mercy,Shawn Mendes,Rock
232,Scars To Your Beautiful,Alessia Cara,Blues
233,"How Far I'll Go - From ""Moana""",Alessia Cara,Blues
234,No Problem (feat. Lil Wayne & 2 Chainz),Chance The Rapper,Classical
235,Call On Me - Ryan Riback Extended Remix,Starley,EDM
236,Love Me Now,John Legend,Classical
237,Neighbors,J. Cole,Hip hop
238,Controlla,Drake,Pop
239,Cold Water (feat. Justin Bieber & MØ),Major Lazer,Hip hop
240,Too Good,Drake,Pop
241,pick up the phone,Young Thug,Pop
242,Swang,Rae Sremmurd,EDM
243,Don't Let Me Down,The Chainsmokers,Classical
244,Six Feet Under,The Weeknd,EDM
245,Treat You Better,Shawn Mendes,Hip hop
246,Just Hold On,Steve Aoki,Reggae
247,Sidewalks,The Weeknd,Classical
248,Needed Me,Rihanna,Blues
249,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,Pop
250,Redbone,Childish Gambino,Rock
251,Immortal,J. Cole,Rock
252,Panda,Desiigner,Hip hop
253,Work from Home,Fifth Harmony,Classical
254,All Time Low,Jon Bellion,Blues
255,Some Kind Of Drug,G-Eazy,Reggae
256,Now and Later,Sage The Gemini,Country
257,Work,Rihanna,Pop
258,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,EDM
259,"Sucker For Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)",Lil Wayne,Pop
260,All Night,The Vamps,Rock
261,Make Me (Cry),Noah Cyrus,Reggae
262,Low Life,Future,Rock
263,Ride,Twenty One Pilots,Blues
264,No Role Modelz,J. Cole,Pop
265,Cheap Thrills,Sia,EDM
266,Chantaje,Shakira,Blues
267,Weak,AJR,Blues
268,Into You,Ariana Grande,Blues
269,Reminder,The Weeknd,Rock
270,Used to This,Future,Blues
271,Jumpman,Drake,Classical
272,Love On The Brain,Rihanna,EDM
273,Money Longer,Lil Uzi Vert,Country
274,goosebumps,Travis Scott,Blues
275,Change,J. Cole,Blues
276,"i hate u, i love u (feat. olivia o'brien)",gnash,Pop
277,This Is What You Came For,Calvin Harris,Country
278,Too Many Years,Kodak Black,Pop
279,Die For You,The Weeknd,Pop
280,Don't,Bryson Tiller,Reggae
281,Trust Nobody (feat. Selena Gomez & Tory Lanez),Cashmere Cat,Country
282,Sunset Lover,Petit Biscuit,Country
283,White Iverson,Post Malone,Reggae
284,Selfish,PnB Rock,Rock
285,The Mack,Nevada,Hip hop
286,Juju On That Beat (TZ Anthem),Zay Hilfigerrr,Country
287,Exchange,Bryson Tiller,Reggae
288,Come and See Me (feat. Drake),PARTYNEXTDOOR,Rock
289,Water,Ugly God,Classical
290,Erase Your Social,Lil Uzi Vert,Blues
291,One Night,Lil Yachty,Blues
292,Never Be Like You,Flume,Rock
293,Water Under the Bridge,Adele,Classical
294,All Time Low,Jon Bellion,Classical
295,We Don't Talk Anymore (feat. Selena Gomez),Charlie Puth,Pop
296,Stressed Out,Twenty One Pilots,EDM
297,Too Much Sauce,DJ Esco,EDM
298,Congratulations,Post Malone,Blues
299,Setting Fires,The Chainsmokers,Pop
300,Lot to Learn,Luke Christopher,Rock
301,Light,San Holo,Country
302,"Me, Myself & I",G-Eazy,Classical
303,Deja Vu,Post Malone,EDM
304,Moves,Big Sean,Pop
305,I Would Like,Zara Larsson,EDM
306,I Took A Pill In Ibiza - Seeb Remix,Mike Posner,Blues
307,Both (feat. Drake),Gucci Mane,Pop
308,No Flockin,Kodak Black,Reggae
309,True Colors,The Weeknd,Pop
310,This Town,Niall Horan,EDM
311,That's What I Like,Bruno Mars,Blues
312,Lighthouse - Andrelli Remix,Hearts & Colors,Pop
313,Secrets,The Weeknd,Blues
314,Steady 1234 (feat. Jasmine Thompson & Skizzy Mars),Vice,Country
315,Love Yourself,Justin Bieber,Blues
316,Litty (feat. Tory Lanez),Meek Mill,EDM
317,Father Stretch My Hands Pt. 1,Kanye West,Reggae
318,I Got You,Bebe Rexha,Classical
319,Shed a Light,Robin Schulz,Hip hop
320,The Hills,The Weeknd,Country
321,Gold,Kiiara,Pop
322,Pop Style,Drake,Classical
323,Rockin’,The Weeknd,Rock
324,Send My Love (To Your New Lover),Adele,Blues
325,By Your Side,Jonas Blue,Reggae
326,Gassed Up,Nebu Kiniza,EDM
327,Roses,The Chainsmokers,Reggae
328,Not Going Home,DVBBS,Rock
329,She's Mine Pt. 1,J. Cole,Classical
330,What They Want,Russ,Reggae
331,PILLOWTALK,ZAYN,EDM
332,7 Years,Lukas Graham,Pop
333,Somebody Else,VÉRITÉ,Classical
334,Tiimmy Turner,Desiigner,Blues
335,Living Single,Big Sean,Classical
336,My Shit,A Boogie Wit da Hoodie,Pop
337,For Whom The Bell Tolls,J. Cole,EDM
338,Timeless (DJ SPINKING),A Boogie Wit da Hoodie,Blues
339,4 Your Eyez Only,J. Cole,Hip hop
340,Let Me Explain,Bryson Tiller,EDM
341,Black Barbies,Nicki Minaj,Country
342,Ville Mentality,J. Cole,Blues
343,Go Flex,Post Malone,EDM
344,Uber Everywhere,MadeinTYO,Reggae
345,Sorry,Justin Bieber,Pop
346,oui,Jeremih,Country
347,Capsize,FRENSHIP,Reggae
348,You & Me,Marc E. Bassy,Pop
349,Famous,Kanye West,Rock
350,Hotline Bling,Drake,Pop
351,Still Here,Drake,Country
352,All I Know,The Weeknd,Blues
353,How Far I'll Go,Auli'i Cravalho,Hip hop
354,My Way,Calvin Harris,Country
355,Party,Chris Brown,Rock
356,False Alarm,The Weeknd,Hip hop
357,Hymn For The Weekend - Seeb Remix,Coldplay,Classical
358,Solo Dance,Martin Jensen,Pop
359,Cake By The Ocean,DNCE,Classical
360,Wyclef Jean,Young Thug,Hip hop
361,Baptized In Fire,Kid Cudi,Blues
362,Foldin Clothes,J. Cole,Country
363,The Greatest,Sia,EDM
364,Oh Lord,MiC LOWRY,Hip hop
365,Blue Ain't Your Color,Keith Urban,Classical
366,No Type,Rae Sremmurd,Blues
367,Hear Me Now,Alok,Blues
368,Ophelia,The Lumineers,EDM
369,Attention,The Weeknd,Classical
370,Dynamite (feat. Pretty Sister),Nause,Rock
371,'Till I Collapse,Eminem,Rock
372,Wake Up Where You Are,State of Sound,Blues
373,Do What I Want,Lil Uzi Vert,Reggae
374,Lose Yourself - Soundtrack Version,Eminem,EDM
375,Taped Up Heart (feat. Clara Mae),KREAM,Rock
376,Say It (feat. Tove Lo),Flume,Country
377,LUV,Tory Lanez,Blues
378,Good Drank,2 Chainz,Country
379,Unsteady,X Ambassadors,Hip hop
380,Death Of A Bachelor,Panic! At The Disco,EDM
381,Wet Dreamz,J. Cole,Classical
382,Antidote,Travis Scott,Hip hop
383,Ni**as In Paris,JAY Z,Pop
384,Really Really,Kevin Gates,Blues
385,Middle,DJ Snake,Hip hop
386,Let It Go,James Bay,Blues
387,Childs Play,Drake,Rock
388,Juke Jam (feat. Justin Bieber & Towkio),Chance The Rapper,EDM
389,Miss You,James Hersey,Hip hop
390,Location,Khalid,Pop
391,She's Mine Pt. 2,J. Cole,EDM
392,Rap God,Eminem,EDM
393,My House,Flo Rida,Reggae
394,H.O.L.Y.,Florida Georgia Line,Country
395,Cake,Flo Rida,Country
396,Look Alive,Rae Sremmurd,Rock
397,Light It Up (feat. Nyla & Fuse ODG) - Remix,Major Lazer,Classical
398,Ordinary Life,The Weeknd,Reggae
399,It's Gotta Be You,Isaiah,Rock
400,Versace On The Floor,Bruno Mars,Classical
401,Bad and Boujee (feat. Lil Uzi Vert),Migos,EDM
402,Fake Love,Drake,Blues
403,Starboy,The Weeknd,Rock
404,Closer,The Chainsmokers,Blues
405,Black Beatles,Rae Sremmurd,Country
406,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,Pop
407,Bad Things (with Camila Cabello),Machine Gun Kelly,Classical
408,Caroline,Aminé,EDM
409,Bounce Back,Big Sean,Country
410,I Feel It Coming,The Weeknd,Country
411,Broccoli (feat. Lil Yachty),DRAM,Pop
412,Let Me Love You,DJ Snake,Country
413,Don't Wanna Know,Maroon 5,Hip hop
414,Deja Vu,J. Cole,Pop
415,24K Magic,Bruno Mars,Rock
416,X (feat. Future),21 Savage,Rock
417,Starving,Hailee Steinfeld,Classical
418,One Dance,Drake,EDM
419,Say You Won't Let Go,James Arthur,Rock
420,In the Name of Love,Martin Garrix,Blues
421,Chill Bill,Rob $tone,EDM
422,Party Monster,The Weeknd,Country
423,No Heart,21 Savage,Reggae
424,Side To Side,Ariana Grande,Classical
425,iSpy (feat. Lil Yachty),KYLE,Classical
426,Sneakin’,Drake,Rock
427,Heathens,Twenty One Pilots,Country
428,All We Know,The Chainsmokers,Reggae
429,Mercy,Shawn Mendes,Reggae
430,"How Far I'll Go - From ""Moana""",Alessia Cara,Blues
431,Scars To Your Beautiful,Alessia Cara,Rock
432,You Was Right,Lil Uzi Vert,Country
433,Call On Me - Ryan Riback Extended Remix,Starley,Reggae
434,OOOUUU,Young M.A,Blues
435,Love Me Now,John Legend,Pop
436,Neighbors,J. Cole,Blues
437,No Problem (feat. Lil Wayne & 2 Chainz),Chance The Rapper,EDM
438,Just Hold On,Steve Aoki,Rock
439,Cold Water (feat. Justin Bieber & MØ),Major Lazer,Blues
440,Too Good,Drake,Pop
441,Swang,Rae Sremmurd,Reggae
442,Six Feet Under,The Weeknd,EDM
443,Needed Me,Rihanna,Reggae
444,Controlla,Drake,Rock
445,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,Reggae
446,Sidewalks,The Weeknd,Pop
447,pick up the phone,Young Thug,EDM
448,Treat You Better,Shawn Mendes,Pop
449,Don't Let Me Down,The Chainsmokers,Blues
450,Immortal,J. Cole,Classical
451,All Time Low,Jon Bellion,Country
452,Redbone,Childish Gambino,Rock
453,Some Kind Of Drug,G-Eazy,Classical
454,Now and Later,Sage The Gemini,Hip hop
455,Panda,Desiigner,Classical
456,Work from Home,Fifth Harmony,Blues
457,Weak,AJR,Reggae
458,All Night,The Vamps,Reggae
459,Make Me (Cry),Noah Cyrus,Classical
460,Chantaje,Shakira,EDM
461,"Sucker For Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)",Lil Wayne,Blues
462,Low Life,Future,Reggae
463,Love On The Brain,Rihanna,Pop
464,Work,Rihanna,Blues
465,Ride,Twenty One Pilots,Blues
466,Reminder,The Weeknd,Classical
467,Change,J. Cole,Hip hop
468,Used to This,Future,Country
469,Sunset Lover,Petit Biscuit,Pop
470,Cheap Thrills,Sia,Reggae
471,goosebumps,Travis Scott,Pop
472,No Role Modelz,J. Cole,Pop
473,Into You,Ariana Grande,Rock
474,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,Reggae
475,The Mack,Nevada,Hip hop
476,"i hate u, i love u (feat. olivia o'brien)",gnash,Blues
477,Trust Nobody (feat. Selena Gomez & Tory Lanez),Cashmere Cat,Blues
478,Jumpman,Drake,EDM
479,Too Many Years,Kodak Black,Rock
480,Die For You,The Weeknd,Pop
481,Money Longer,Lil Uzi Vert,EDM
482,This Is What You Came For,Calvin Harris,Blues
483,Selfish,PnB Rock,Pop
484,Water Under the Bridge,Adele,Pop
485,Don't,Bryson Tiller,Rock
486,Water,Ugly God,Blues
487,White Iverson,Post Malone,Country
488,Erase Your Social,Lil Uzi Vert,Rock
489,Stressed Out,Twenty One Pilots,Rock
490,Come and See Me (feat. Drake),PARTYNEXTDOOR,Blues
491,Light,San Holo,Blues
492,Setting Fires,The Chainsmokers,Reggae
493,Exchange,Bryson Tiller,Reggae
494,Congratulations,Post Malone,Blues
495,Lot to Learn,Luke Christopher,Pop
496,Never Be Like You,Flume,Reggae
497,Both (feat. Drake),Gucci Mane,Hip hop
498,Moves,Big Sean,Hip hop
499,We Don't Talk Anymore (feat. Selena Gomez),Charlie Puth,Hip hop
500,I Would Like,Zara Larsson,EDM
501,All Time Low,Jon Bellion,Reggae
502,Too Much Sauce,DJ Esco,Hip hop
503,"Me, Myself & I",G-Eazy,Country
504,One Night,Lil Yachty,Hip hop
505,Shed a Light,Robin Schulz,Classical
506,Lighthouse - Andrelli Remix,Hearts & Colors,Pop
507,I Took A Pill In Ibiza - Seeb Remix,Mike Posner,Classical
508,Deja Vu,Post Malone,Reggae
509,Steady 1234 (feat. Jasmine Thompson & Skizzy Mars),Vice,Hip hop
510,That's What I Like,Bruno Mars,Rock
511,I Got You,Bebe Rexha,Blues
512,Gold,Kiiara,Hip hop
513,This Town,Niall Horan,EDM
514,Litty (feat. Tory Lanez),Meek Mill,Rock
515,True Colors,The Weeknd,EDM
516,Secrets,The Weeknd,EDM
517,Juju On That Beat (TZ Anthem),Zay Hilfigerrr,EDM
518,No Flockin,Kodak Black,Hip hop
519,By Your Side,Jonas Blue,Country
520,Not Going Home,DVBBS,Rock
521,Rockin’,The Weeknd,Reggae
522,Love Yourself,Justin Bieber,Pop
523,PILLOWTALK,ZAYN,Rock
524,Living Single,Big Sean,Country
525,Somebody Else,VÉRITÉ,Hip hop
526,Father Stretch My Hands Pt. 1,Kanye West,Reggae
527,7 Years,Lukas Graham,Classical
528,The Hills,The Weeknd,Hip hop
529,Gassed Up,Nebu Kiniza,Blues
530,Send My Love (To Your New Lover),Adele,Pop
531,She's Mine Pt. 1,J. Cole,Classical
532,Pop Style,Drake,Hip hop
533,You & Me,Marc E. Bassy,Rock
534,Capsize,FRENSHIP,EDM
535,Solo Dance,Martin Jensen,Classical
536,Let Me Explain,Bryson Tiller,EDM
537,What They Want,Russ,Country
538,For Whom The Bell Tolls,J. Cole,Blues
539,4 Your Eyez Only,J. Cole,EDM
540,Ville Mentality,J. Cole,Classical
541,Hymn For The Weekend - Seeb Remix,Coldplay,Hip hop
542,Roses,The Chainsmokers,Classical
543,Say It (feat. Tove Lo),Flume,Country
544,Go Flex,Post Malone,Country
545,Timeless (DJ SPINKING),A Boogie Wit da Hoodie,Classical
546,Black Barbies,Nicki Minaj,Country
547,Party,Chris Brown,Classical
548,My Shit,A Boogie Wit da Hoodie,Country
549,Oh Lord,MiC LOWRY,Reggae
550,Baptized In Fire,Kid Cudi,Rock
551,Hear Me Now,Alok,Hip hop
552,All I Know,The Weeknd,Blues
553,Blue Ain't Your Color,Keith Urban,Hip hop
554,Dynamite (feat. Pretty Sister),Nause,Blues
555,Tiimmy Turner,Desiigner,Reggae
556,Wake Up Where You Are,State of Sound,EDM
557,Famous,Kanye West,Reggae
558,Taped Up Heart (feat. Clara Mae),KREAM,Reggae
559,oui,Jeremih,Classical
560,False Alarm,The Weeknd,EDM
561,Foldin Clothes,J. Cole,Rock
562,Ophelia,The Lumineers,Reggae
563,Wyclef Jean,Young Thug,Hip hop
564,My Way,Calvin Harris,Hip hop
565,Still Here,Drake,Country
566,How Far I'll Go,Auli'i Cravalho,Reggae
567,Attention,The Weeknd,Pop
568,Sorry,Justin Bieber,Country
569,Cake,Flo Rida,Rock
570,Good Drank,2 Chainz,Rock
571,LUV,Tory Lanez,Classical
572,Uber Everywhere,MadeinTYO,Classical
573,The Greatest,Sia,Reggae
574,Hotline Bling,Drake,Classical
575,Miss You,James Hersey,Country
576,'Till I Collapse,Eminem,EDM
577,It's Gotta Be You,Isaiah,Reggae
578,Location,Khalid,Reggae
579,Do What I Want,Lil Uzi Vert,Reggae
580,Juke Jam (feat. Justin Bieber & Towkio),Chance The Rapper,EDM
581,Light It Up (feat. Nyla & Fuse ODG) - Remix,Major Lazer,Country
582,Lose Yourself - Soundtrack Version,Eminem,Pop
583,Let It Go,James Bay,Rock
584,Unsteady,X Ambassadors,Pop
585,Wet Dreamz,J. Cole,Rock
586,Hello,Adele,Classical
587,My House,Flo Rida,Rock
588,Really Really,Kevin Gates,Pop
589,H.O.L.Y.,Florida Georgia Line,EDM
590,She's Mine Pt. 2,J. Cole,EDM
591,No Type,Rae Sremmurd,Rock
592,Ni**as In Paris,JAY Z,Rock
593,Death Of A Bachelor,Panic! At The Disco,Classical
594,Middle,DJ Snake,Blues
595,Antidote,Travis Scott,Country
596,Versace On The Floor,Bruno Mars,Country
597,Childs Play,Drake,Rock
598,everybody dies,J. Cole,Blues
599,Ordinary Life,The Weeknd,Reggae
600,Final Song,MØ,Hip hop
601,Bad and Boujee (feat. Lil Uzi Vert),Migos,Classical
602,Fake Love,Drake,Reggae
603,Starboy,The Weeknd,Reggae
604,Closer,The Chainsmokers,Blues
605,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,Reggae
606,Black Beatles,Rae Sremmurd,Classical
607,Bad Things (with Camila Cabello),Machine Gun Kelly,EDM
608,Caroline,Aminé,EDM
609,Bounce Back,Big Sean,EDM
610,I Feel It Coming,The Weeknd,Country
611,Broccoli (feat. Lil Yachty),DRAM,Blues
